2025-09-15T14:30:48 ,            0.32s , rows:0, 4c, DBA_HIST_OSSTAT, 51rn5uwv2gn7n, -1, memory_statistics_for_instance_1, line , 00109_edb360_1a_6z_711081_4c_82_memory_statistics_for_instance_1_line_chart.html
2025-09-15T14:30:48 ,            0.10s , rows:0, 4e, DBA_HIST_SYS_TIME_MODEL, 38adunnc5uq10, 0, stm_background_cpu_time_per_instance, html , 00110_edb360_1a_6z_711081_4e_83_stm_background_cpu_time_per_instance.html
2025-09-15T14:30:48 ,            0.08s , rows:0, 4e, DBA_HIST_SYS_TIME_MODEL, 38adunnc5uq10, -1, stm_background_cpu_time_per_instance, line , 00111_edb360_1a_6z_711081_4e_83_stm_background_cpu_time_per_instance_line_chart.html
2025-09-15T14:30:49 ,            0.09s , rows:0, 4f, DBA_HIST_EVENT_HISTOGRAM, dcvqt635w4nf6, 0, user_io_wait_latency_histogram, html , 00112_edb360_1a_6z_711081_4f_84_user_io_wait_latency_histogram.html
2025-09-15T14:30:49 ,            0.07s , rows:0, 4f, DBA_HIST_EVENT_HISTOGRAM, dcvqt635w4nf6, -1, user_io_wait_latency_histogram, line , 00113_edb360_1a_6z_711081_4f_84_user_io_wait_latency_histogram_line_chart.html
2025-09-15T14:30:49 ,            0.06s , rows:0, 4f, DBA_HIST_EVENT_HISTOGRAM, dwm80xxu0hpy8, 0, system_io_wait_latency_histogram, html , 00114_edb360_1a_6z_711081_4f_85_system_io_wait_latency_histogram.html
2025-09-15T14:30:49 ,            0.06s , rows:0, 4f, DBA_HIST_EVENT_HISTOGRAM, dwm80xxu0hpy8, -1, system_io_wait_latency_histogram, line , 00115_edb360_1a_6z_711081_4f_85_system_io_wait_latency_histogram_line_chart.html
2025-09-15T14:30:49 ,            0.06s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 8pxrsg6xk8k79, 0, top_5_wait_events, html , 00116_edb360_1a_6z_711081_4g_86_top_5_wait_events.html
2025-09-15T14:30:49 ,            0.06s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 1pp155yht7y65, 0, _latency_histogram, html , 00117_edb360_1a_6z_711081_4g_87__latency_histogram.html
2025-09-15T14:30:49 ,            0.06s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 1pp155yht7y65, -1, _latency_histogram, line , 00118_edb360_1a_6z_711081_4g_87__latency_histogram_line_chart.html
2025-09-15T14:30:50 ,            0.11s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 3trsvz7yswgvt, 0, _latency_histogram, html , 00119_edb360_1a_6z_711081_4g_88__latency_histogram.html
2025-09-15T14:30:50 ,            0.04s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 3trsvz7yswgvt, -1, _latency_histogram, line , 00120_edb360_1a_6z_711081_4g_88__latency_histogram_line_chart.html
2025-09-15T14:30:50 ,            0.07s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 2fgqssm5pdca2, 0, _latency_histogram, html , 00121_edb360_1a_6z_711081_4g_89__latency_histogram.html
2025-09-15T14:30:50 ,            0.04s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 2fgqssm5pdca2, -1, _latency_histogram, line , 00122_edb360_1a_6z_711081_4g_89__latency_histogram_line_chart.html
2025-09-15T14:30:50 ,            0.06s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, dqs04zkzd3ct0, 0, _latency_histogram, html , 00123_edb360_1a_6z_711081_4g_90__latency_histogram.html
2025-09-15T14:30:50 ,            0.04s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, dqs04zkzd3ct0, -1, _latency_histogram, line , 00124_edb360_1a_6z_711081_4g_90__latency_histogram_line_chart.html
2025-09-15T14:30:50 ,            0.06s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 1j071qadwdhqv, 0, _latency_histogram, html , 00125_edb360_1a_6z_711081_4g_91__latency_histogram.html
2025-09-15T14:30:50 ,            0.04s , rows:0, 4g, DBA_HIST_EVENT_HISTOGRAM, 1j071qadwdhqv, -1, _latency_histogram, line , 00126_edb360_1a_6z_711081_4g_91__latency_histogram_line_chart.html
2025-09-15T14:30:51 ,            0.05s , rows:0, 4i, DBA_HIST_EVENT_HISTOGRAM, c2mpswpr75y7q, 0, top_5_wait_events, html , 00127_edb360_1a_6z_711081_4i_92_top_5_wait_events.html
2025-09-15T14:30:51 ,            0.05s , rows:0, 4i, DBA_HIST_EVENT_HISTOGRAM, 4zhbc5b2vd2m4, 0, _waits_count_and_average_latency, html , 00128_edb360_1a_6z_711081_4i_93__waits_count_and_average_latency.html
2025-09-15T14:30:51 ,            0.06s , rows:0, 4i, DBA_HIST_EVENT_HISTOGRAM, 4zhbc5b2vd2m4, -1, _waits_count_and_average_latency, line , 00129_edb360_1a_6z_711081_4i_93__waits_count_and_average_latency_line_chart.html
2025-09-15T14:30:51 ,            0.05s , rows:0, 4i, DBA_HIST_EVENT_HISTOGRAM, 2k7r3vsv0uyyc, 0, _waits_count_and_average_latency, html , 00130_edb360_1a_6z_711081_4i_94__waits_count_and_average_latency.html
